antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
Cordials,Condensed/Evap Milk,0.04336560752761489,0.1634619755443429,0.015091595072503296,0.3480083857442348,2.128986784757348,0.00800296719535874,1.2830502818821494
Condensed/Evap Milk,Cordials,0.1634619755443429,0.04336560752761489,0.015091595072503296,0.09232480533926586,2.128986784757348,0.00800296719535874,1.0539391162165126
Flour,Condensed/Evap Milk,0.1467793990635938,0.1634619755443429,0.04982044638392654,0.3394239702694333,2.0764705011004625,0.02582759584378002,1.2663765967966791
Condensed/Evap Milk,Flour,0.1634619755443429,0.1467793990635938,0.04982044638392654,0.3047830923248053,2.076470501100462,0.02582759584378002,1.2272725123869268
Condensed/Evap Milk,Margarine,0.1634619755443429,0.04682031001409155,0.019228146733942453,0.11763070077864296,2.5123862004168607,0.011574806363440467,1.0802502884302954
Margarine,Condensed/Evap Milk,0.04682031001409155,0.1634619755443429,0.019228146733942453,0.41067961165048544,2.5123862004168602,0.011574806363440467,1.4194961535244262
Condensed/Evap Milk,Seasoning Powder,0.1634619755443429,0.07173053320605483,0.025910268648574934,0.1585094549499444,2.2097905573154795,0.014185053983864122,1.1031252487082046
Seasoning Powder,Condensed/Evap Milk,0.07173053320605483,0.1634619755443429,0.025910268648574934,0.3612167300380228,2.2097905573154795,0.014185053983864122,1.3095803597133202
Tea,Condensed/Evap Milk,0.064139279058139,0.1634619755443429,0.02400109095867994,0.37420269312544296,2.2892338837782593,0.013516757693846637,1.3367555521029808
Condensed/Evap Milk,Tea,0.1634619755443429,0.064139279058139,0.02400109095867994,0.1468298109010011,2.2892338837782593,0.013516757693846637,1.0969214969057797
Confectionery,Snack,0.026683031046865768,0.23682894677030775,0.0133187872176008,0.4991482112436116,2.107631765671442,0.006999473078132159,1.52374628655044
Snack,Confectionery,0.23682894677030775,0.026683031046865768,0.0133187872176008,0.056238003838771596,2.107631765671442,0.006999473078132159,1.0313161293971587
Cooking Oils,Margarine,0.2023728351288695,0.04682031001409155,0.01913723351061412,0.0945642407906559,2.0197269253918826,0.009662074631449814,1.0527303348591577
Margarine,Cooking Oils,0.04682031001409155,0.2023728351288695,0.01913723351061412,0.40873786407766993,2.0197269253918826,0.009662074631449814,1.3490245974010913
Cooking Sauces,Margarine,0.2166462111914178,0.04682031001409155,0.020910041365516614,0.09651699538396978,2.0614343509242246,0.010766598594156082,1.0550056670861214
Margarine,Cooking Sauces,0.04682031001409155,0.2166462111914178,0.020910041365516614,0.4466019417475728,2.061434350924224,0.010766598594156082,1.4155340394260345
Cooking Sauces,Seasoning Powder,0.2166462111914178,0.07173053320605483,0.03509250420473658,0.1619806966009232,2.2581833615486118,0.019552355958904616,1.1076946116023891
Seasoning Powder,Cooking Sauces,0.07173053320605483,0.2166462111914178,0.03509250420473658,0.4892268694550063,2.2581833615486118,0.019552355958904616,1.5336628768485643
Cultured Milk,Kaya,0.1194599754534297,0.042911041410973225,0.01054593390608664,0.0882800608828006,2.057280783221113,0.005419781952450673,1.049762013010001
Kaya,Cultured Milk,0.042911041410973225,0.1194599754534297,0.01054593390608664,0.2457627118644068,2.057280783221113,0.005419781952450673,1.1674575606347786
Yoghurt Drink,Cultured Milk,0.040183644711123234,0.1194599754534297,0.010955043411064139,0.27262443438914025,2.2821403851319237,0.006154706200244017,1.2105713556752224
Cultured Milk,Yoghurt Drink,0.1194599754534297,0.040183644711123234,0.010955043411064139,0.09170471841704718,2.282140385131924,0.006154706200244017,1.0567228243398274
Cultured Milk,Yoghurts,0.1194599754534297,0.05713896086185736,0.01831901450065912,0.15334855403348552,2.68378268908723,0.011493195638667159,1.1136354206090062
Yoghurts,Cultured Milk,0.05713896086185736,0.1194599754534297,0.01831901450065912,0.3206046141607001,2.6837826890872303,0.011493195638667159,1.2960641813290854
Flour,Margarine,0.1467793990635938,0.04682031001409155,0.01740988226737579,0.11861257355218334,2.533357286965516,0.01053762529953627,1.081453696052178
Margarine,Flour,0.04682031001409155,0.1467793990635938,0.01740988226737579,0.3718446601941747,2.5333572869655154,0.01053762529953627,1.3582955470857778
Peanut Butter,Flour,0.0394108823128324,0.1467793990635938,0.011773262421019138,0.29873125720876587,2.0352396801906596,0.00598855679857558,1.2166813503484608
Flour,Peanut Butter,0.1467793990635938,0.0394108823128324,0.011773262421019138,0.08021059151440074,2.0352396801906596,0.00598855679857558,1.0443576636403582
Flour,Seasoning Powder,0.1467793990635938,0.07173053320605483,0.028910405018409926,0.19696500464540104,2.7459018613397825,0.01838184045991404,1.155951449393617
Seasoning Powder,Flour,0.07173053320605483,0.1467793990635938,0.028910405018409926,0.403041825095057,2.7459018613397825,0.01838184045991404,1.4292803697214955
Flour,Sugar,0.1467793990635938,0.1876903495613437,0.07009409518614483,0.47754722824403845,2.544335547139889,0.04254501846749495,1.5548001548704338
Sugar,Flour,0.1876903495613437,0.1467793990635938,0.07009409518614483,0.37345604262533305,2.544335547139889,0.04254501846749495,1.3617888910964133
Tea,Flour,0.064139279058139,0.1467793990635938,0.02350106823037411,0.3664068036853296,2.496309468650841,0.014086743393848319,1.3466378835808381
Flour,Tea,0.1467793990635938,0.064139279058139,0.02350106823037411,0.160111489625271,2.4963094686508414,0.014086743393848319,1.1142677979060727
Instant Soup,Frozen Food,0.021046411200509114,0.2205554797945361,0.010000454566116642,0.47516198704103674,2.154387583041172,0.005358553245835256,1.4851144561939498
Frozen Food,Instant Soup,0.2205554797945361,0.021046411200509114,0.010000454566116642,0.04534212695795549,2.1543875830411725,0.005358553245835256,1.0254496573521437
Ice Cream,Isotonic Drinks,0.08341288240374563,0.0637301695531615,0.012409654984317469,0.14877384196185287,2.334433487388589,0.007093737845808838,1.099907259199711
Isotonic Drinks,Ice Cream,0.0637301695531615,0.08341288240374563,0.012409654984317469,0.19472182596291013,2.3344334873885884,0.007093737845808838,1.1382242151195292
Ice Cream,Yoghurts,0.08341288240374563,0.05713896086185736,0.011273239692713306,0.13514986376021798,2.3652838924908792,0.006507114269670974,1.0902016426077452
Yoghurts,Ice Cream,0.05713896086185736,0.08341288240374563,0.011273239692713306,0.19729514717581545,2.3652838924908797,0.006507114269670974,1.1418731484821523
Instant Soup,Instant Noodles,0.021046411200509114,0.24960225464793853,0.010909586799399972,0.5183585313174945,2.076738177099538,0.00565635511150527,1.5580006999910512
Instant Noodles,Instant Soup,0.24960225464793853,0.021046411200509114,0.010909586799399972,0.043707885631032596,2.076738177099538,0.00565635511150527,1.0236972302605227
Kaya,Sugar,0.042911041410973225,0.1876903495613437,0.017091685985726624,0.3983050847457627,2.1221393943623235,0.009037697623259764,1.3500357570670627
Sugar,Kaya,0.1876903495613437,0.042911041410973225,0.017091685985726624,0.0910632114313393,2.1221393943623235,0.009037697623259764,1.052976368242497
Yoghurts,Liquid Milk,0.05713896086185736,0.19419064502931951,0.023137415337060777,0.4049323786793954,2.0852311326236,0.012041563670991653,1.354147539034954
Liquid Milk,Yoghurts,0.19419064502931951,0.05713896086185736,0.023137415337060777,0.11914794007490637,2.0852311326236,0.012041563670991653,1.0703965876157708
Seasoning Powder,Margarine,0.07173053320605483,0.04682031001409155,0.011545979362698305,0.16096324461343473,3.437893609952379,0.008187533560514729,1.1360404462218756
Margarine,Seasoning Powder,0.04682031001409155,0.07173053320605483,0.011545979362698305,0.24660194174757283,3.437893609952379,0.008187533560514729,1.2321102458734068
Sugar,Margarine,0.1876903495613437,0.04682031001409155,0.018137188054002454,0.09663356744974569,2.0639241265310244,0.00934946770088713,1.0551418069575913
Margarine,Sugar,0.04682031001409155,0.1876903495613437,0.018137188054002454,0.387378640776699,2.0639241265310244,0.00934946770088713,1.3259571156130205
Milk Powder-Adult,Seasoning Powder,0.07486703941088231,0.07173053320605483,0.014137006227555798,0.18882817243472982,2.6324657575358814,0.008766753571054489,1.1443561465640926
Seasoning Powder,Milk Powder-Adult,0.07173053320605483,0.07486703941088231,0.014137006227555798,0.19708491761723698,2.6324657575358814,0.008766753571054489,1.1522176888789484
Tea,Milk Powder-Adult,0.064139279058139,0.07486703941088231,0.01200054547933997,0.18710134656272148,2.4991150716656407,0.007198627546308699,1.1380667893559242
Milk Powder-Adult,Tea,0.07486703941088231,0.064139279058139,0.01200054547933997,0.16029143897996356,2.4991150716656403,0.007198627546308699,1.1145065852431273
Sugar,Seasoning Powder,0.1876903495613437,0.07173053320605483,0.029410427746715758,0.1566965366916929,2.184516546692365,0.015947298895049755,1.1007537703596209
Seasoning Powder,Sugar,0.07173053320605483,0.1876903495613437,0.029410427746715758,0.41001267427122934,2.1845165466923646,0.015947298895049755,1.3768255944062293
Tea,Seasoning Powder,0.064139279058139,0.07173053320605483,0.017091685985726624,0.26647767540751244,3.7149824976488377,0.012490941299434368,1.2654958624601513
Seasoning Powder,Tea,0.07173053320605483,0.064139279058139,0.017091685985726624,0.23827629911280102,3.7149824976488377,0.012490941299434368,1.2286091660950555
