,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,antecedent_len
15,['Biscuits'],['Chocolate'],0.2690320358250086,0.040647605924905274,0.018256975542542197,0.0678617157490397,1.6695132272835782,1
16,['Biscuits'],['Coconut Milk'],0.2690320358250086,0.1157423355149845,0.038236307268343095,0.14212548015364918,1.2279472288275106,1
17,['Coconut Milk'],['Biscuits'],0.1157423355149845,0.2690320358250086,0.038236307268343095,0.33035714285714285,1.2279472288275104,1
18,['Biscuits'],['Coffee'],0.2690320358250086,0.13193248363761625,0.04650361694798484,0.17285531370038412,1.310180093138943,1
19,['Coffee'],['Biscuits'],0.13193248363761625,0.2690320358250086,0.04650361694798484,0.3524804177545692,1.3101800931389427,1
20,['Condensed/Evap Milk'],['Biscuits'],0.3692731656906648,0.2690320358250086,0.11333103685842232,0.3069029850746269,1.1407674336384659,1
21,['Biscuits'],['Condensed/Evap Milk'],0.2690320358250086,0.3692731656906648,0.11333103685842232,0.42125480153649164,1.1407674336384657,1
22,['Confectionery'],['Biscuits'],0.019979331725800895,0.2690320358250086,0.011712022046159145,0.5862068965517241,2.1789482979380987,1
23,['Biscuits'],['Confectionery'],0.2690320358250086,0.019979331725800895,0.011712022046159145,0.04353393085787451,2.1789482979380987,1
24,['Cooking Oils'],['Biscuits'],0.27213227695487424,0.2690320358250086,0.08301756803306924,0.3050632911392405,1.1339292371027083,1
25,['Biscuits'],['Cooking Oils'],0.2690320358250086,0.27213227695487424,0.08301756803306924,0.3085787451984635,1.1339292371027083,1
26,['Biscuits'],['Cooking Sauces'],0.2690320358250086,0.30003444712366517,0.11023079572855667,0.40973111395646605,1.365613574989232,1
27,['Cooking Sauces'],['Biscuits'],0.30003444712366517,0.2690320358250086,0.11023079572855667,0.36739380022962115,1.365613574989232,1
28,['Biscuits'],['Cordials'],0.2690320358250086,0.10816396830864623,0.03410265242852222,0.1267605633802817,1.1719296671750246,1
