Category,Name,Quantity,Price,Discount,OriginalPrice,PricePerVolume,OriginalPricePerVolume
Chocolate,VOCHELLE Dairy Milk Chocolate,0.18,7.29,-14,8.49,40.5,47.1
Chocolate,Tesco Chocolate Marie Biscuits,0.3,3.05,-6,3.25,10.2,10.9
Chocolate,Richoco Nabati Chocolate Bites,0.125,3.7,0,3.7,29.6,29.6
Chocolate,Delfi Chocolate Hazelnut Spread,0.35,11.29,-10,12.49,32.3,35.9
Chocolate,Ferrero Rocher Hazelnut Chocolate,0.0375,5.99,0,5.99,159.7,159.7
Chocolate,M&M's Milk Chocolate,0.2,8.99,0,8.99,44.9,44.9
Chocolate,Ritter Sport Dark Chocolate,0.1,11.99,0,11.99,119.9,119.9
Chocolate,Snickers Oat Chocolate Bars,24.98607242339833,3.59,0,3.59,89.7,89.7
Chocolate,VOCHELLE Fruit & Nuts Chocolate,0.205,17.39,-8,18.99,84.8,92.2
Chocolate,KitKat Wafer Milk Chocolate,9.527896995708153,6.99,0,6.99,66.6,66.6
Chocolate,Munchy's Chocolate Lexus Biscuits,0.19,4.99,0,4.99,26.3,26.3
Chocolate,Cadbury 5 Star Chocolate,0.045,2.99,0,2.99,66.4,66.4
Chocolate,Jw Chocolate Milk Breadspread,0.35,16.99,0,16.99,48.5,48.5
Chocolate,Cadbury 5 Star Chocolate,5.555555555555555,9.99,0,9.99,55.5,55.5
Chocolate,Lindt Swiss Classic Chocolate,0.1,11.99,0,11.99,119.9,119.9
Chocolate,Lindt Swiss Classic Chocolate,0.1,12.99,0,12.99,129.9,129.9
Chocolate,Cocoaland Koko Jelly Chocolate,0.5,8.99,0,8.99,18,18
Chocolate,NATURELL Oat Cookies Chocolate,0.27,8.1,0,8.1,30,30
Chocolate,Julie's Love Letters Chocolate Cream,0.7,14.63,-30,20.9,20.9,29.9
Chocolate,Munchy's Oat Krunch Nutty Chocolate,0.416,8.12,-8,8.79,19.5,21.2
Chocolate,Gery Dark Chocolate Wafer Roll,0.16,6.11,-7,6.59,38.2,41.1
Chocolate,M&M's Peanut Milk Chocolate,0.2,8.79,0,8.79,43.9,43.9
Chocolate,CHIPS MORE Chocolate Chip Cookies - Hazelnuts,0.16319999999999998,2.85,-25,3.79,17.5,23.3
Chocolate,Munchy's Muzic Bites Chocolate Wafer,0.18,4.85,-11,5.45,26.9,30.2
Chocolate,Fudo Swiss Roll Chocolate Flavour,0.432,7.07,-21,8.99,16.4,20.8
Chocolate,Tesco Chocolate Flavoured Breakfast Cereal,0.17,3.49,0,3.49,20.5,20.5
Chocolate,Cadbury Dairy Milk Chocolate Jar (100pcs x 1 Bottle),0.45,25.19,0,25.19,56,56
Chocolate,M&M's Crispy Milk Chocolate,0.034,4.49,0,4.49,132.1,132.1
Chocolate,M&M's Milk Chocolate Candy,0.04,4.49,0,4.49,112.2,112.2
Chocolate,Cadbury Zip Chocolate (31 Pieces),0.2015,9.39,-6,9.99,46.6,49.6
Chocolate,CLOUD9 Plus - Party Pack Chocolate,0.24,6.59,0,6.59,27.5,27.5
Chocolate,Tesco Almond In Milk Chocolate 165g,0.165,5.87,-16,6.99,35.6,42.4
Chocolate,Koko Krunch Chocolate Wheat Cereal,0.5,12,-20,14.99,24,30
Chocolate,KitKat Wafer Fingers In Milk Chocolate,0.035,2.55,0,2.55,72.9,72.9
Chocolate,Delfi Chocolate Hazelnut And Milk Spread,0.35,11.29,-10,12.49,32.3,35.9
Chocolate,Lindt Les Grandes Dark Chocolate,0.15,18.99,0,18.99,126.6,126.6
Chocolate,Cadbury Dairy Milk Hazelnut Chocolate,0.165,8.11,-6,8.59,49.2,52.3
Chocolate,Chipsmore Oats Double Chocolate Cookies,0.16319999999999998,4.59,0,4.59,28.1,28.1
Chocolate,Koko Krunch Chocolate Wheat Cereal,0.17,6.01,-12,6.85,35.4,40.2
Chocolate,MIGHTY WHITE Chocolate Cup Cake,0.055,1.13,0,1.13,20.5,20.5
Chocolate,Yogood Chocolate And Nut Crunchy Muesli,0.35,13.2,-7,14.19,37.7,40.5
Chocolate,Koko Krunch Chocolate Wheat Cereal,0.33,10.28,-6,10.99,31.2,33.2
Chocolate,Skippy Chocolate Stripe Peanut Butter,0.35,13.39,0,13.39,38.3,38.3
Chocolate,Cadbury Chocolate (40 Mini Bites),0.18,10.99,0,10.99,61.1,61.1
Chocolate,Delfi Rich Choco Chocolate Spread,0.35,11.29,-10,12.49,32.3,35.9
Chocolate,Vochelle Hazelnuts Chocolate Pack 100G,0.1,5.99,0,5.99,59.9,59.9
Chocolate,Loacker Quadratini Dark Chocolate Wafer,0.25,13.99,0,13.99,56,56
Chocolate,Hershey's Kisses Creamy Milk Chocolate,0.146,13.99,0,13.99,95.8,95.8
Chocolate,Ferrero Rocher The Golden Experience Chocolate,2.6665408567654274,52.99,0,52.99,141.3,141.3
Chocolate,Lindt Swiss Almonds Milk Chocolate,0.1,12.99,0,12.99,129.9,129.9
Chocolate,Cadbury Dairy Milk Almond Chocolate,0.18,17.29,0,17.29,96.1,96.1
Chocolate,M&M's Minis Chocolate Candy,0.035,3.79,0,3.79,108.3,108.3
Chocolate,Belgian Seashells Chocolate (20 Pieces),4.001146460303811,34.89,0,34.89,139.6,139.6
Chocolate,KAGI Mini Dark Chocolate Wafer,0.125,18.19,0,18.19,145.5,145.5
Chocolate,Vochelle Doypack Cranberry Flavoured Chocolate,0.1,5.99,0,5.99,59.9,59.9
Chocolate,Cadbury Dairy Milk Hazelnut Chocolate,0.04,2.99,0,2.99,74.8,74.8
Chocolate,Nutella Chocolate And Hazelnut Spread 350g,0.35,11.4,-40,18.99,32.6,54.3
Chocolate,KitKat Chunky Hazelnut Chocolate Wafer,0.038,2.89,0,2.89,76.1,76.1
Chocolate,Tesco Fruits & Nuts Milk Chocolate,0.165,6.99,0,6.99,42.4,42.4
Chocolate,Skippy Chocolate Stripe Peanut Butter,0.53,14.58,-16,17.29,27.5,32.7
Chocolate,Cadbury Dairy Milk Chocolate Bar,0.1,6.39,0,6.39,63.9,63.9
Chocolate,KitKat Wafer Fingers In Milk Chocolate,4.897595725734639,11.23,-8,12.19,55,59.8
Chocolate,Lindt 70% Cocoa Dark Chocolate,0.1,14.5,-14,16.9,145,168.6
Chocolate,Cadbury Dairy Milk Bubbly Chocolate,0.12,9.49,0,9.49,79.1,79.1
Chocolate,Snickers Roasted Peanuts In Milk Chocolate,0.34514925373134325,10.72,-23,13.99,3.7,4.8
Chocolate,Lindt Excellence 90% Cocoa Chocolate,0.1,14.5,-14,16.9,145,168.6
Chocolate,M&M's Milk Chocolate Bar,0.16,11.69,0,11.69,73.1,73.1
Chocolate,CHOKI CHOKI Choco Milk Chocolate,0.055,1.79,0,1.79,32.5,32.5
Chocolate,Merba Dark Chocolate & Hazelnut Cookies,0.2,14.49,0,14.49,72.4,72.4
Chocolate,Tesco Chocolate Chips Butter Cookies,0.454,16.99,0,16.99,37.4,37.4
Chocolate,M&M's Crispy Chocolate Bar,0.15,11.69,0,11.69,77.9,77.9
Chocolate,Munchy's Muzic Bites Chocolate Hazelnut,0.18,5.45,0,5.45,30.3,30.3
Chocolate,Belgian Hearts Chocolate (20 Pieces),5.001316135825217,37.99,0,37.99,190,190
Chocolate,Vochelle Doypack Tiramisu Almond Chocolates,0.1,5.99,0,5.99,59.9,59.9
Chocolate,Tesco Almond In Milk Chocolate 340g,0.34,16.69,0,16.69,49.1,49.1
Chocolate,Mini Oreo Chocolate (8 Pieces),0.023,7.4,0,7.4,321.7,321.7
Chocolate,Gardenia Delicia Milky Chocolate Spread,0.2,7.2,0,7.2,36,36
Chocolate,Hajima Chocolate Banana Maki Ball,0.035,3.29,0,3.29,94,94
Chocolate,Glendee Coconut Chips-Chocolate Flavour,0.04,4.99,0,4.99,124.8,124.8
Chocolate,KitKat Green Tea Chocolate Wafer,0.035,3.99,0,3.99,114,114
Chocolate,KAGI Premium Swiss Mini Chocolate Wafer,0.125,18.19,0,18.19,145.5,145.5
Chocolate,Cap Ping Pong Chocolate Flavour Teddy Biscuits,0.12,2.65,0,2.65,22.1,22.1
Chocolate,Tesco Milk Chocolat,0.25,4.99,0,4.99,20,20
Chocolate,KitKat Chunky Wafer Finger In Milk Chocolate,8.774885145482388,6.53,-13,7.49,57.3,65.9
Chocolate,Cadbury Dairy Milk Fruit & Nut Chocolate,0.165,8.11,-6,8.59,49.2,52.3
Chocolate,Cadbury Dairy Milk Roast Almond Chocolate,0.165,8.11,-6,8.59,49.2,52.3
Chocolate,Cadbury Dairy Milk Black Forest Chocolate,0.165,7.99,-7,8.59,48.4,52
Chocolate,Lotte Pepero Almond & Chocolate Biscuit Sticks,0.032,5.4,0,5.4,168.8,168.8
Chocolate,Lindt Excellence 99% Cocoa Dark Chocolate,0.05,15.5,-13,17.9,310,356.3
Chocolate,Cadbury Dairy Milk Fruit & Nut Chocolate,0.04,2.99,0,2.99,74.8,74.8
Chocolate,Chipsmore Mini Double Chocolate Chip Cookies,0.224,6.49,0,6.49,29,29
Chocolate,KitKat Chunky Cookies & Cream Chocolate Wafer,0.038,2.89,0,2.89,76.1,76.1
Chocolate,Cadbury Dairy Milk Roast Almond Chocolate,0.04,2.99,0,2.99,74.8,74.8
Chocolate,NATURELL Oat Cookies Chocolate Chips & Hazelnut,0.27,8.1,0,8.1,30,30
Chocolate,Cadbury Dairy Milk Fruit & Nuts Chocolate,0.18,17.29,0,17.29,96.1,96.1
Chocolate,Zess Vanilla Flavour Chocolate Sandwich Biscuit,0.1274,2.2,-27,3,17.3,23.7
Chocolate,Oreo Chocolate Sandwich Cookies With Vanilla Cream,0.133,2.4,-20,2.99,18,22.5
Chocolate,Milo Chocolate Breakfast Cereal Econo Pack,0.5,12,-20,14.99,24,30
